Date,Apple
1998-12-07,1.0558
1998-12-08,1.0029
1998-12-09,1.0011
1998-12-10,1.0011
1998-12-11,1.0558
1998-12-14,1.0167
1998-12-15,1.0499
1998-12-16,1.0264
1998-12-17,1.0461
1998-12-18,1.1009
1998-12-21,1.0968
1998-12-22,1.1888
1998-12-23,1.2454
1998-12-24,1.2279
1998-12-28,1.2789
1998-12-29,1.2767
1998-12-30,1.2532
1998-12-31,1.2807
1999-01-04,1.2904
1999-01-05,1.3549
1999-01-06,1.3061
1999-01-07,1.4077
1999-01-08,1.4077
1999-01-11,1.4353
1999-01-12,1.4431
1999-01-13,1.4547
1999-01-14,1.2945
1999-01-15,1.2923
1999-01-19,1.2789
1999-01-20,1.2688
1999-01-21,1.2141
1999-01-22,1.2122
1999-01-25,1.2319
1999-01-26,1.267
1999-01-27,1.2554
1999-01-28,1.2789
1999-01-29,1.2886
1999-02-01,1.2807
1999-02-02,1.226
1999-02-03,1.2573
1999-02-04,1.185
1999-02-05,1.1359
1999-02-08,1.1809
1999-02-09,1.1634
1999-02-10,1.1985
1999-02-11,1.2398
1999-02-12,1.1791
1999-02-16,1.1985
1999-02-17,1.1575
1999-02-18,1.1262
1999-02-19,1.1634
1999-02-22,1.2025
1999-02-23,1.2025
1999-02-24,1.1712
1999-02-25,1.1556
1999-02-26,1.089
1999-03-01,1.0558
1999-03-02,1.0833
1999-03-03,1.0696
1999-03-04,1.0461
1999-03-05,1.0383
1999-03-08,1.0755
1999-03-09,1.0677
1999-03-10,1.0186
1999-03-11,1.007
1999-03-12,1.0383
1999-03-15,1.0655
1999-03-16,1.1106
1999-03-17,1.0655
1999-03-18,1.1106
1999-03-19,1.048
1999-03-22,1.0968
1999-03-23,1.0323
1999-03-24,1.0539
1999-03-25,1.0577
1999-03-26,1.0402
1999-03-29,1.1068
1999-03-30,1.1224
1999-03-31,1.1243
1999-04-01,1.1281
1999-04-05,1.1594
1999-04-06,1.1888
1999-04-07,1.1615
1999-04-08,1.1537
1999-04-09,1.1497
1999-04-12,1.134
1999-04-13,1.0833
1999-04-14,1.1115
1999-04-15,1.1184
1999-04-16,1.1087
1999-04-19,1.0599
1999-04-20,1.0655
1999-04-21,1.0755
1999-04-22,1.1381
1999-04-23,1.226
1999-04-26,1.2807
1999-04-27,1.4312
1999-04-28,1.3783
1999-04-29,1.3452
1999-04-30,1.439
1999-05-03,1.5504
1999-05-04,1.4547
1999-05-05,1.4703
1999-05-06,1.3921
1999-05-07,1.4353
1999-05-10,1.4156
1999-05-11,1.3999
1999-05-12,1.4547
1999-05-13,1.445
1999-05-14,1.3883
1999-05-17,1.3883
1999-05-18,1.4156
1999-05-19,1.4137
1999-05-20,1.3295
1999-05-21,1.3746
1999-05-24,1.312
1999-05-25,1.2983
1999-05-26,1.3783
1999-05-27,1.3608
1999-05-28,1.3783
1999-06-01,1.4018
1999-06-02,1.4565
1999-06-03,1.4841
1999-06-04,1.5057
1999-06-07,1.531
1999-06-08,1.4919
1999-06-09,1.5154
1999-06-10,1.5057
1999-06-11,1.4528
1999-06-14,1.4215
1999-06-15,1.4409
1999-06-16,1.4997
1999-06-17,1.4509
1999-06-18,1.4744
1999-06-21,1.4547
1999-06-22,1.4196
1999-06-23,1.3668
1999-06-24,1.3236
1999-06-25,1.3198
1999-06-28,1.3314
1999-06-29,1.4196
1999-06-30,1.4487
1999-07-01,1.4174
1999-07-02,1.4487
1999-07-06,1.4822
1999-07-07,1.5604
1999-07-08,1.7049
1999-07-09,1.7403
1999-07-12,1.7049
1999-07-13,1.6796
1999-07-14,1.75
1999-07-15,1.6658
1999-07-16,1.6599
1999-07-19,1.7031
1999-07-20,1.6543
1999-07-21,1.6912
1999-07-22,1.6386
1999-07-23,1.6677
1999-07-26,1.5936
1999-07-27,1.6796
1999-07-28,1.7012
1999-07-29,1.6855
1999-07-30,1.7422
1999-08-02,1.744
1999-08-03,1.7284
1999-08-04,1.6833
1999-08-05,1.7128
1999-08-06,1.6934
1999-08-09,1.7031
1999-08-10,1.7325
1999-08-11,1.8673
1999-08-12,1.877
1999-08-13,1.8789
1999-08-16,1.8926
1999-08-17,1.8867
1999-08-18,1.8811
1999-08-19,1.8379
1999-08-20,1.8517
1999-08-23,1.9005
1999-08-24,1.8889
1999-08-25,1.9202
1999-08-26,1.9436
1999-08-27,2.0256
1999-08-30,1.9414
1999-08-31,2.0412
1999-09-01,2.1467
1999-09-02,2.2073
